,product_category_name,price,cumulative_sum,cumcut
0,beleza_saude,191012.7,191012.7,0.09942565358599387
1,cama_mesa_banho,177953.99,368966.69,0.19205400638130757
2,relogios_presentes,165744.9,534711.59,0.2783273013561715
3,esporte_lazer,149196.7,683908.29,0.35598695126622176
4,informatica_acessorios,141512.61000000002,825420.9,0.42964688979339744
5,utilidades_domesticas,110673.27,936094.17,0.4872543797888227
6,moveis_decoracao,104318.93000000001,1040413.1000000001,0.5415543179428908
7,cool_stuff,69387.54,1109800.6400000001,0.5776718196337431
8,brinquedos,69358.94,1179159.58,0.6137744344940731
9,perfumaria,61392.34,1240551.9200000002,0.6457302862760412
10,automotivo,57245.3,1297797.2200000002,0.6755275268114942
11,bebes,53096.28,1350893.5000000002,0.7031651254737032
12,ferramentas_jardim,45141.05,1396034.5500000003,0.726661879353461
13,moveis_escritorio,42196.01,1438230.5600000003,0.7486256852834916
14,telefonia,37266.63,1475497.1900000002,0.7680236574848027
15,instrumentos_musicais,34087.1,1509584.2900000003,0.7857666253416581
16,papelaria,31321.43,1540905.7200000002,0.8020700106610528
17,pet_shop,29312.86,1570218.5800000003,0.8173278980369956
18,pcs,28467.08,1598685.6600000004,0.8321455412339389
19,construcao_ferramentas_construcao,25128.16,1623813.8200000003,0.8452252146347831
20,eletroportateis,24473.15,1648286.9700000002,0.8579639431803617
21,consoles_games,23901.98,1672188.9500000002,0.8704053671458852
22,malas_acessorios,23688.2,1695877.1500000001,0.8827355146558452
23,fashion_bolsas_e_acessorios,23152.83,1719029.9800000002,0.8947869921498308
24,eletronicos,19211.11,1738241.0900000003,0.9047867312659337
25,eletrodomesticos_2,15505.79,1753746.8800000004,0.9128577825893126
26,eletrodomesticos,11263.710000000001,1765010.5900000003,0.9187207525832087
27,casa_conforto,11112.64,1776123.2300000002,0.9245050878397956
28,agro_industria_e_comercio,10463.16,1786586.3900000001,0.9299513567086971
29,portateis_casa_forno_e_cafe,9381.52,1795967.9100000001,0.9348346118934574
30,casa_construcao,9001.68,1804969.59,0.9395201533122843
31,audio,8445.51,1813415.1,0.9439161979293023
32,moveis_sala,8075.12,1821490.2200000002,0.9481194476806818
33,moveis_cozinha_area_de_servico_jantar_e_jardim,7926.84,1829417.0600000003,0.9522455149415059
34,livros_interesse_geral,7654.96,1837072.0200000003,0.9562300636190265
35,construcao_ferramentas_seguranca,7511.8,1844583.8200000003,0.9601400948609663
36,moveis_quarto,7066.08,1851649.9000000004,0.9638181205749158
37,climatizacao,6479.89,1858129.7900000003,0.9671910235201929
38,alimentos,6186.0599999999995,1864315.8500000003,0.9704109824999999
39,industria_comercio_e_negocios,5842.76,1870158.6100000003,0.973452247461681
40,telefonia_fixa,4770.86,1874929.4700000004,0.9759355685898954
41,sinalizacao_e_seguranca,4436.45,1879365.9200000004,0.9782448231098911
42,bebidas,4016.08,1883382.0000000005,0.9803352672471325
43,market_place,3993.01,1887375.0100000005,0.9824137030214313
44,construcao_ferramentas_iluminacao,3567.65,1890942.6600000004,0.9842707310254125
45,construcao_ferramentas_ferramentas,3105.0,1894047.6600000004,0.9858869411223564
46,alimentos_bebidas,2894.35,1896942.0100000005,0.9873935039867975
47,construcao_ferramentas_jardim,2877.96,1899819.9700000004,0.9888915355522083
48,artes,2874.21,1902694.1800000004,0.9903876151730576
49,livros_tecnicos,2820.39,1905514.5700000003,0.9918556804855598
50,dvds_blu_ray,2461.58,1907976.1500000004,0.9931369785372297
51,fashion_calcados,1795.8,1909771.9500000004,0.9940717257488535
52,fashion_roupa_masculina,1407.3,1911179.2500000005,0.9948042515039032
53,livros_importados,1357.84,1912537.0900000005,0.9955110324114828
54,fashion_underwear_e_moda_praia,1268.95,1913806.0400000005,0.9961715444251757
55,musica,1133.28,1914939.3200000005,0.9967614376872256
56,cine_foto,1062.43,1916001.7500000005,0.9973144522100261
57,moveis_colchao_e_estofado,1004.1,1917005.8500000006,0.9978371048858206
58,tablets_impressao_imagem,645.6800000000001,1917651.5300000005,0.9981731933030169
59,fashion_roupa_feminina,603.84,1918255.3700000006,0.9984875032240922
60,artigos_de_natal,441.71000000000004,1918697.0800000005,0.9987174214726979
61,fraldas_higiene,361.89,1919058.9700000004,0.9989057919306634
62,casa_conforto_2,323.19,1919382.1600000004,0.999074018320754
63,la_cuisine,280.0,1919662.1600000004,0.9992197635146813
64,fashion_roupa_infanto_juvenil,279.97,1919942.1300000004,0.9993654930930521
65,flores,272.09000000000003,1920214.2200000004,0.999507120985251
66,artigos_de_festas,266.39,1920480.6100000003,0.9996457819217163
67,fashion_esporte,259.6,1920740.2100000004,0.9997809085372289
68,cds_dvds_musicais,240.0,1920980.2100000004,0.9999058329891667
69,artes_e_artesanato,159.39000000000001,1921139.6000000003,0.9999887984408097
70,portateis_cozinha_e_preparadores_de_alimentos,21.52,1921161.1200000003,1.0000000000000002
